"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qunkexcep","qfailed","dstype"
"142",273,"dbpseed1prdrotatednt","GraphDB","sparql22",25.7009345794393,77,2996,0,0,0,"rot"
"143",273,"dbpseed1prdrotatednt","GraphDB","sparql21",137.5,77,560,0,0,0,"rot"
"144",273,"dbpseed1prdrotatednt","GraphDB","sparql20",36.5448504983389,77,2107,0,0,0,"rot"
"145",274,"dbpseed123prdrotatednt","GraphDB","sparql9",0.16078431372549,41,255000,0,0,0,"rot"
"146",274,"dbpseed123prdrotatednt","GraphDB","sparql8",157.088122605364,41,261,0,0,0,"rot"
"147",274,"dbpseed123prdrotatednt","GraphDB","sparql7",85.7740585774059,41,478,0,0,0,"rot"
"148",274,"dbpseed123prdrotatednt","GraphDB","sparql6",98.5576923076923,41,416,0,0,0,"rot"
"149",274,"dbpseed123prdrotatednt","GraphDB","sparql5",22.3433242506812,41,1835,0,0,0,"rot"
"150",274,"dbpseed123prdrotatednt","GraphDB","sparql4",66.0225442834139,41,621,0,0,0,"rot"
"151",274,"dbpseed123prdrotatednt","GraphDB","sparql3",1.80354550653235,41,22733,0,0,0,"rot"
"152",274,"dbpseed123prdrotatednt","GraphDB","sparql2",0.02788125577176,41,1470522,0,0,0,"rot"
"153",274,"dbpseed123prdrotatednt","GraphDB","sparql1",1.19939152820033,41,34184,0,0,0,"rot"
"154",274,"dbpseed123prdrotatednt","GraphDB","sparql0",0.636122445813228,41,64453,0,0,0,"rot"
"155",274,"dbpseed123prdrotatednt","GraphDB","sparql19",139.455782312925,41,294,0,0,0,"rot"
"156",274,"dbpseed123prdrotatednt","GraphDB","sparql18",0.0271570298952533,41,1509738,0,0,0,"rot"
"157",274,"dbpseed123prdrotatednt","GraphDB","sparql17",212.435233160622,41,193,0,0,0,"rot"
"158",274,"dbpseed123prdrotatednt","GraphDB","sparql16",33.5241210139002,41,1223,0,0,0,"rot"
"159",274,"dbpseed123prdrotatednt","GraphDB","sparql15",254.658385093168,41,161,0,0,0,"rot"
"160",274,"dbpseed123prdrotatednt","GraphDB","sparql14",196.172248803828,41,209,0,0,0,"rot"
"161",274,"dbpseed123prdrotatednt","GraphDB","sparql13",8.81242131766681,42,4766,0,0,0,"rot"
"162",274,"dbpseed123prdrotatednt","GraphDB","sparql12",0.268526705308315,41,152685,0,0,0,"rot"
"163",274,"dbpseed123prdrotatednt","GraphDB","sparql11",95.8904109589041,42,438,0,0,0,"rot"
"164",274,"dbpseed123prdrotatednt","GraphDB","sparql10",158.914728682171,41,258,0,0,0,"rot"
"165",274,"dbpseed123prdrotatednt","GraphDB","sparql23",71.1805555555556,41,576,0,0,0,"rot"
"166",274,"dbpseed123prdrotatednt","GraphDB","sparql22",21.0688591983556,41,1946,0,0,0,"rot"
"167",274,"dbpseed123prdrotatednt","GraphDB","sparql21",11.1930111930112,41,3663,0,0,0,"rot"
"168",274,"dbpseed123prdrotatednt","GraphDB","sparql20",44.7598253275109,41,916,0,0,0,"rot"
"169",275,"dbpseed159prdrotatednt","GraphDB","sparql9",0.127656858364716,40,313340,0,0,0,"rot"
"170",275,"dbpseed159prdrotatednt","GraphDB","sparql8",212.765957446808,40,188,0,0,0,"rot"
"171",275,"dbpseed159prdrotatednt","GraphDB","sparql7",162.60162601626,40,246,0,0,0,"rot"
"172",275,"dbpseed159prdrotatednt","GraphDB","sparql6",72.5952813067151,40,551,0,0,0,"rot"
"173",275,"dbpseed159prdrotatednt","GraphDB","sparql5",21.4938205265986,40,1861,0,0,0,"rot"
"174",275,"dbpseed159prdrotatednt","GraphDB","sparql4",200,40,200,0,0,0,"rot"
"175",275,"dbpseed159prdrotatednt","GraphDB","sparql3",1.66715291960155,40,23993,0,0,0,"rot"
"176",275,"dbpseed159prdrotatednt","GraphDB","sparql2",0.028912262847164,40,1383496,0,0,0,"rot"
"177",275,"dbpseed159prdrotatednt","GraphDB","sparql1",1.15510121574403,40,34629,0,0,0,"rot"
"178",275,"dbpseed159prdrotatednt","GraphDB","sparql0",0.522425097301674,40,76566,0,0,0,"rot"
"179",275,"dbpseed159prdrotatednt","GraphDB","sparql19",40.2414486921529,40,994,0,0,0,"rot"
"180",275,"dbpseed159prdrotatednt","GraphDB","sparql18",0.02511800753917,40,1592483,0,0,0,"rot"
"181",275,"dbpseed159prdrotatednt","GraphDB","sparql17",236.686390532544,40,169,0,0,0,"rot"
"182",275,"dbpseed159prdrotatednt","GraphDB","sparql16",24.4349419670128,40,1637,0,0,0,"rot"
"183",275,"dbpseed159prdrotatednt","GraphDB","sparql15",227.272727272727,40,176,0,0,0,"rot"
"184",275,"dbpseed159prdrotatednt","GraphDB","sparql14",197.044334975369,40,203,0,0,0,"rot"
"185",275,"dbpseed159prdrotatednt","GraphDB","sparql13",18.0378354597448,41,2273,0,0,0,"rot"
"186",275,"dbpseed159prdrotatednt","GraphDB","sparql12",0.306067794016375,40,130690,0,0,0,"rot"
"187",275,"dbpseed159prdrotatednt","GraphDB","sparql11",42.3116615067079,41,969,0,0,0,"rot"
"188",275,"dbpseed159prdrotatednt","GraphDB","sparql10",28.030833917309,40,1427,0,0,0,"rot"
"189",275,"dbpseed159prdrotatednt","GraphDB","sparql23",176.211453744493,40,227,0,0,0,"rot"
"190",275,"dbpseed159prdrotatednt","GraphDB","sparql22",90.4977375565611,40,442,0,0,0,"rot"
"191",275,"dbpseed159prdrotatednt","GraphDB","sparql21",5.24246395806029,40,7630,0,0,0,"rot"
"192",275,"dbpseed159prdrotatednt","GraphDB","sparql20",18.2815356489945,40,2188,0,0,0,"rot"
"193",276,"dbpseed321prdrotatednt","GraphDB","sparql9",0.205050902501067,37,180443,0,0,0,"rot"
"194",276,"dbpseed321prdrotatednt","GraphDB","sparql8",231.25,37,160,0,0,0,"rot"
"195",276,"dbpseed321prdrotatednt","GraphDB","sparql7",117.460317460317,37,315,0,0,0,"rot"
"196",276,"dbpseed321prdrotatednt","GraphDB","sparql6",78.3898305084746,37,472,0,0,0,"rot"
"197",276,"dbpseed321prdrotatednt","GraphDB","sparql5",29.110936270653,37,1271,0,0,0,"rot"
"198",276,"dbpseed321prdrotatednt","GraphDB","sparql4",117.088607594937,37,316,0,0,0,"rot"
"199",276,"dbpseed321prdrotatednt","GraphDB","sparql3",1.56269797693965,37,23677,0,0,0,"rot"
"200",276,"dbpseed321prdrotatednt","GraphDB","sparql2",0.0289947746714187,37,1276092,0,0,0,"rot"
"201",276,"dbpseed321prdrotatednt","GraphDB","sparql1",1.17572291070861,37,31470,0,0,0,"rot"
"202",276,"dbpseed321prdrotatednt","GraphDB","sparql0",0.615517700292787,37,60112,0,0,0,"rot"
"203",276,"dbpseed321prdrotatednt","GraphDB","sparql19",0.11531760650516,37,320853,0,0,0,"rot"
"204",276,"dbpseed321prdrotatednt","GraphDB","sparql18",0.0236307421905187,37,1565757,0,0,0,"rot"
"205",276,"dbpseed321prdrotatednt","GraphDB","sparql17",216.374269005848,37,171,0,0,0,"rot"
"206",276,"dbpseed321prdrotatednt","GraphDB","sparql16",20.1634877384196,37,1835,0,0,0,"rot"
"207",276,"dbpseed321prdrotatednt","GraphDB","sparql15",268.115942028986,37,138,0,0,0,"rot"
"208",276,"dbpseed321prdrotatednt","GraphDB","sparql14",190.721649484536,37,194,0,0,0,"rot"
"209",276,"dbpseed321prdrotatednt","GraphDB","sparql13",9.87525987525988,38,3848,0,0,0,"rot"
"210",276,"dbpseed321prdrotatednt","GraphDB","sparql12",0.450242157268369,37,82178,0,0,0,"rot"
"211",276,"dbpseed321prdrotatednt","GraphDB","sparql11",89.622641509434,38,424,0,0,0,"rot"
"212",276,"dbpseed321prdrotatednt","GraphDB","sparql10",145.669291338583,37,254,0,0,0,"rot"
"213",276,"dbpseed321prdrotatednt","GraphDB","sparql23",160.869565217391,37,230,0,0,0,"rot"
"214",276,"dbpseed321prdrotatednt","GraphDB","sparql22",140.151515151515,37,264,0,0,0,"rot"
"215",276,"dbpseed321prdrotatednt","GraphDB","sparql21",66.6666666666667,37,555,0,0,0,"rot"
"216",276,"dbpseed321prdrotatednt","GraphDB","sparql20",21.3256484149856,37,1735,0,0,0,"rot"
"217",277,"dbpseed333prdrotatednt","GraphDB","sparql9",0.166089746462684,63,379313,0,0,0,"rot"
"218",277,"dbpseed333prdrotatednt","GraphDB","sparql8",243.137254901961,62,255,0,0,0,"rot"
"219",277,"dbpseed333prdrotatednt","GraphDB","sparql7",115.808823529412,63,544,0,0,0,"rot"
"220",277,"dbpseed333prdrotatednt","GraphDB","sparql6",74.3405275779376,62,834,0,0,0,"rot"
"221",277,"dbpseed333prdrotatednt","GraphDB","sparql5",17.7345537757437,62,3496,0,0,0,"rot"
"222",277,"dbpseed333prdrotatednt","GraphDB","sparql4",151.807228915663,63,415,0,0,0,"rot"
"223",277,"dbpseed333prdrotatednt","GraphDB","sparql3",1.64426464831006,63,38315,0,0,0,"rot"
"224",277,"dbpseed333prdrotatednt","GraphDB","sparql2",0.0286157632239442,62,2166638,0,0,0,"rot"
"225",277,"dbpseed333prdrotatednt","GraphDB","sparql1",1.13597432337402,63,55459,0,0,0,"rot"
"226",277,"dbpseed333prdrotatednt","GraphDB","sparql0",0.566027564643942,63,111302,0,0,0,"rot"
"227",277,"dbpseed333prdrotatednt","GraphDB","sparql19",34.6344145134689,63,1819,0,0,0,"rot"
"228",277,"dbpseed333prdrotatednt","GraphDB","sparql18",0.093453230366663,63,674134,0,0,0,"rot"
"229",277,"dbpseed333prdrotatednt","GraphDB","sparql17",245.059288537549,62,253,0,0,0,"rot"
"230",277,"dbpseed333prdrotatednt","GraphDB","sparql16",20.4545454545455,63,3080,0,0,0,"rot"
"231",277,"dbpseed333prdrotatednt","GraphDB","sparql15",293.023255813953,63,215,0,0,0,"rot"
"232",277,"dbpseed333prdrotatednt","GraphDB","sparql14",207.236842105263,63,304,0,0,0,"rot"
"233",277,"dbpseed333prdrotatednt","GraphDB","sparql13",7.80862667327714,63,8068,0,0,0,"rot"
"234",277,"dbpseed333prdrotatednt","GraphDB","sparql12",0.427842912644138,62,144913,0,0,0,"rot"
"235",277,"dbpseed333prdrotatednt","GraphDB","sparql11",128.048780487805,63,492,0,0,0,"rot"
"236",277,"dbpseed333prdrotatednt","GraphDB","sparql10",167.11590296496,62,371,0,0,0,"rot"
"237",277,"dbpseed333prdrotatednt","GraphDB","sparql23",230.769230769231,63,273,0,0,0,"rot"
"238",277,"dbpseed333prdrotatednt","GraphDB","sparql22",185.294117647059,63,340,0,0,0,"rot"
"239",277,"dbpseed333prdrotatednt","GraphDB","sparql21",56.4516129032258,63,1116,0,0,0,"rot"
"240",277,"dbpseed333prdrotatednt","GraphDB","sparql20",51.1363636363636,63,1232,0,0,0,"rot"
"241",278,"dbpseed1prdrotatednt","Fuseki","sparql9",0.117836984315897,60,509178,0,0,0,"rot"
"242",278,"dbpseed1prdrotatednt","Fuseki","sparql8",167.613636363636,59,352,0,0,0,"rot"
"243",278,"dbpseed1prdrotatednt","Fuseki","sparql7",128.47965738758,60,467,0,0,0,"rot"
"244",278,"dbpseed1prdrotatednt","Fuseki","sparql6",74.0276035131744,59,797,0,0,0,"rot"
"245",278,"dbpseed1prdrotatednt","Fuseki","sparql5",13.0617666592871,59,4517,0,0,0,"rot"
"246",278,"dbpseed1prdrotatednt","Fuseki","sparql4",169.971671388102,60,353,0,0,0,"rot"
"247",278,"dbpseed1prdrotatednt","Fuseki","sparql3",1.54000154000154,60,38961,0,0,0,"rot"
"248",278,"dbpseed1prdrotatednt","Fuseki","sparql2",0.027016631255037,59,2183840,0,0,0,"rot"
