"","suiteid","gname","Ts","qry","qps","qsucc","qtotalTime","qtimeouts","qfailed","dstype"
"79",107,"seed159prdrotatednt","Blazegraph","sparql0",46.3917525773196,9,194,0,0,"rot"
"80",107,"seed159prdrotatednt","Blazegraph","sparql7",2.08044382801664,9,4326,0,0,"rot"
"81",108,"seed1prdrotatednt","Blazegraph","sparql6",1.68287210172027,9,5348,0,0,"rot"
"82",108,"seed1prdrotatednt","Blazegraph","sparql5",0,0,3241199,0,9,"rot"
"83",108,"seed1prdrotatednt","Blazegraph","sparql4",32.4909747292419,9,277,0,0,"rot"
"84",108,"seed1prdrotatednt","Blazegraph","sparql3",0.11743827965969,9,76636,0,0,"rot"
"85",108,"seed1prdrotatednt","Blazegraph","sparql2",40,9,225,0,0,"rot"
"86",108,"seed1prdrotatednt","Blazegraph","sparql1",9.93377483443709,9,906,0,0,"rot"
"87",108,"seed1prdrotatednt","Blazegraph","sparql0",43.6893203883495,9,206,0,0,"rot"
"88",108,"seed1prdrotatednt","Blazegraph","sparql7",3.08747855917667,9,2915,0,0,"rot"
"89",109,"seed321prdrotatednt","Blazegraph","sparql6",1.63220892274211,9,5514,0,0,"rot"
"90",109,"seed321prdrotatednt","Blazegraph","sparql5",0,0,3241177,0,9,"rot"
"91",109,"seed321prdrotatednt","Blazegraph","sparql4",28.7539936102236,9,313,0,0,"rot"
"92",109,"seed321prdrotatednt","Blazegraph","sparql3",0.117036632465962,9,76899,0,0,"rot"
"93",109,"seed321prdrotatednt","Blazegraph","sparql2",43.9024390243902,9,205,0,0,"rot"
"94",109,"seed321prdrotatednt","Blazegraph","sparql1",10.5633802816901,9,852,0,0,"rot"
"95",109,"seed321prdrotatednt","Blazegraph","sparql0",53.8922155688623,9,167,0,0,"rot"
"96",109,"seed321prdrotatednt","Blazegraph","sparql7",1.53191489361702,9,5875,0,0,"rot"
"97",110,"seed333prdrotatednt","Blazegraph","sparql6",1.60028449502134,9,5624,0,0,"rot"
"98",110,"seed333prdrotatednt","Blazegraph","sparql5",0,0,3241216,0,9,"rot"
"99",110,"seed333prdrotatednt","Blazegraph","sparql4",35.8565737051793,9,251,0,0,"rot"
"100",110,"seed333prdrotatednt","Blazegraph","sparql3",0.130968145636578,9,68719,0,0,"rot"
"101",110,"seed333prdrotatednt","Blazegraph","sparql2",40.7239819004525,9,221,0,0,"rot"
"102",110,"seed333prdrotatednt","Blazegraph","sparql1",11.015911872705,9,817,0,0,"rot"
"103",110,"seed333prdrotatednt","Blazegraph","sparql0",46.6321243523316,9,193,0,0,"rot"
"104",110,"seed333prdrotatednt","Blazegraph","sparql7",2.41092954728101,9,3733,0,0,"rot"
"105",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql6",8.02908650204514,53,6601,0,0,"rec"
"106",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql5",0.0180003022692268,53,2944395,0,0,"rec"
"107",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql4",28.6796536796537,53,1848,0,0,"rec"
"108",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql3",0.111543957790083,53,475149,0,0,"rec"
"109",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql2",42.4,53,1250,0,0,"rec"
"110",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql1",9.56678700361011,53,5540,0,0,"rec"
"111",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql0",51.8590998043053,53,1022,0,0,"rec"
"112",111,"swfcTboxsf1R100i270reconnt","Blazegraph","sparql7",0.485726068826468,53,109115,0,0,"rec"
"113",112,"swfcTboxorgnt","GraphDB","sparql6",5.22778192681105,14,2678,0,0,"org"
"114",112,"swfcTboxorgnt","GraphDB","sparql5",0.00519502687498724,14,2694885,0,0,"org"
"115",112,"swfcTboxorgnt","GraphDB","sparql4",0.0679545675177167,14,206020,0,0,"org"
"116",112,"swfcTboxorgnt","GraphDB","sparql3",0.0283392204690141,14,494015,0,0,"org"
"117",112,"swfcTboxorgnt","GraphDB","sparql2",118.64406779661,14,118,0,0,"org"
"118",112,"swfcTboxorgnt","GraphDB","sparql1",7.55531570426336,14,1853,0,0,"org"
"119",112,"swfcTboxorgnt","GraphDB","sparql0",115.702479338843,14,121,0,0,"org"
"120",112,"swfcTboxorgnt","GraphDB","sparql7",0.346200450060585,14,40439,0,0,"org"
"121",113,"seed123prdrotatednt","GraphDB","sparql6",0.101246456374027,9,88892,0,0,"rot"
"122",113,"seed123prdrotatednt","GraphDB","sparql5",0,0,3245655,0,9,"rot"
"123",113,"seed123prdrotatednt","GraphDB","sparql4",25.1396648044693,9,358,0,0,"rot"
"124",113,"seed123prdrotatednt","GraphDB","sparql3",0.0776189942303214,9,115951,0,0,"rot"
"125",113,"seed123prdrotatednt","GraphDB","sparql2",115.384615384615,9,78,0,0,"rot"
